id,required_skills,candidate_skills,degree,years_experience,overlap,fit,probability,missing_skills
FIT0000,"Airflow, Hadoop, Java, Linux, React","Django, ETL, GCP, Hadoop, PyTorch, Spark",Masters,3.7,1.0,1.0,0.421,"Airflow, Java, Linux, React"
FIT0001,"ETL, GCP, Git, GraphQL, Kubernetes, Node.js, Spark, TensorFlow","AWS, Docker, ETL, Excel, Git, NumPy, PyTorch, Python, Spark, Tableau",Masters,2.7,3.0,1.0,0.591,"GCP, GraphQL, Kubernetes, Node.js, TensorFlow"
FIT0002,"Excel, Git, Java, JavaScript, Linux, React, TypeScript","CI/CD, Git, GraphQL, Java, Pandas, Power BI, React, SQL, Scikit-learn",Masters,4.0,3.0,1.0,0.63,"Excel, JavaScript, Linux, TypeScript"
FIT0003,"Airflow, Azure, CI/CD, Hadoop, Java, JavaScript, Linux, REST","Azure, Git, GraphQL, Java, Kubernetes, Node.js, R, REST, React",Bachelors,4.2,3.0,0.0,0.576,"Airflow, CI/CD, Hadoop, JavaScript, Linux"
FIT0004,"ETL, Excel, GCP, PyTorch, React","Airflow, Docker, GCP, Kubernetes, Pandas, Python, R, REST, Spark, TypeScript",PhD,2.4,1.0,1.0,0.382,"ETL, Excel, PyTorch, React"
FIT0005,"AWS, Airflow, CI/CD, Git, R, Tableau, TensorFlow","AWS, Django, Kubernetes, Linux, R",Bachelors,4.6,2.0,0.0,0.488,"Airflow, CI/CD, Git, Tableau, TensorFlow"
FIT0006,"Azure, Hadoop, Java, JavaScript, Kubernetes, Node.js, NumPy, Tableau","AWS, Django, GraphQL, Hadoop, Kubernetes, Linux, NumPy, R, Spark",Masters,2.4,3.0,1.0,0.582,"Azure, Java, JavaScript, Node.js, Tableau"
FIT0007,"Airflow, Excel, Git, NumPy, REST, TypeScript","AWS, Airflow, CI/CD, GCP, Hadoop, JavaScript, R, React, Tableau",Bachelors,0.0,1.0,0.0,0.25,"Excel, Git, NumPy, REST, TypeScript"
FIT0008,"Docker, Excel, GCP, REST, Spark, Tableau, TensorFlow","CI/CD, Excel, Git, Hadoop, Kubernetes, Node.js, Scikit-learn, Spark, Tableau",Bachelors,6.2,3.0,1.0,0.636,"Docker, GCP, REST, TensorFlow"
FIT0009,"Azure, Django, NumPy, Pandas, R, React, Scikit-learn, Spark","Flask, GraphQL, Java, Linux, Power BI, REST, React, SQL, Scikit-learn, Tableau",Bachelors,0.5,2.0,1.0,0.365,"Azure, Django, NumPy, Pandas, R, Spark"
FIT0010,"AWS, Azure, Docker, Excel, Flask, Python, React, Scikit-learn","GCP, Git, JavaScript, TypeScript",No Degree,0.0,0.0,0.0,0.15,"AWS, Azure, Docker, Excel, Flask, Python, React, Scikit-learn"
FIT0011,"Django, GCP, PyTorch, Spark, TensorFlow","Azure, CI/CD, Excel, Hadoop, JavaScript, REST, React, Tableau, TypeScript",Bachelors,4.2,0.0,1.0,0.276,"Django, GCP, PyTorch, Spark, TensorFlow"
FIT0012,"GraphQL, Hadoop, Kubernetes, Node.js, NumPy, Spark, Tableau","Airflow, Git, GraphQL, Java, Linux, Pandas, Power BI, TensorFlow, TypeScript",Bachelors,2.0,1.0,1.0,0.31,"Hadoop, Kubernetes, Node.js, NumPy, Spark, Tableau"
FIT0013,"Django, Flask, Kubernetes, Pandas, Python","AWS, Flask, Java, Node.js, Power BI, Scikit-learn, TypeScript",Masters,5.2,1.0,0.0,0.466,"Django, Kubernetes, Pandas, Python"
FIT0014,"Airflow, Flask, Java, PyTorch, REST, React","Airflow, Azure, ETL, PyTorch, R, REST, Tableau, TypeScript",Masters,2.9,3.0,1.0,0.597,"Flask, Java, React"
FIT0015,"ETL, GCP, JavaScript, React, SQL, Scikit-learn","AWS, Airflow, ETL, Excel, GCP, Hadoop, Java, Linux, PyTorch, TensorFlow",No Degree,3.2,2.0,0.0,0.446,"JavaScript, React, SQL, Scikit-learn"
FIT0016,"Azure, Pandas, PyTorch, R, TypeScript","CI/CD, ETL, Linux, Python, Scikit-learn",Bachelors,2.8,0.0,0.0,0.234,"Azure, Pandas, PyTorch, R, TypeScript"
FIT0017,"Django, Docker, Excel, Kubernetes, Linux, PyTorch, R, SQL","AWS, Git, Java, PyTorch, REST, Spark",Bachelors,6.0,1.0,1.0,0.43,"Django, Docker, Excel, Kubernetes, Linux, R, SQL"
FIT0018,"AWS, Django, GraphQL, JavaScript, Linux, Node.js","Docker, Hadoop, Linux, R",Bachelors,4.6,1.0,0.0,0.388,"AWS, Django, GraphQL, JavaScript, Node.js"
FIT0019,"Linux, Node.js, NumPy, PyTorch, React","Django, Flask, Hadoop, Java, Linux, Node.js, PyTorch, R",Bachelors,3.8,3.0,1.0,0.564,"NumPy, React"
FIT0020,"AWS, Azure, Docker, GraphQL, Kubernetes, Pandas, Power BI","Airflow, CI/CD, Excel, GCP, NumPy, REST, Spark, Tableau, TensorFlow",Masters,,0.0,0.0,0.381,"AWS, Azure, Docker, GraphQL, Kubernetes, Pandas, Power BI"
FIT0021,"AWS, ETL, Git, R, Tableau","CI/CD, ETL, GCP, Hadoop, Python, R, REST, SQL, TypeScript",Bachelors,0.8,2.0,0.0,0.374,"AWS, Git, Tableau"
FIT0022,"Azure, GCP, Git, JavaScript, Spark","Django, Hadoop, JavaScript, SQL",Masters,0.0,1.0,1.0,0.31,"Azure, GCP, Git, Spark"
FIT0023,"Excel, Flask, Hadoop, Kubernetes, Pandas, React, Spark, TensorFlow","CI/CD, Kubernetes, Node.js, NumPy, Pandas, REST, Spark",Masters,0.0,3.0,1.0,0.51,"Excel, Flask, Hadoop, React, TensorFlow"
FIT0024,"Hadoop, Java, Python, REST, React, Scikit-learn, TensorFlow","Django, Git, Linux, Node.js, Power BI, REST, React, Tableau, TypeScript",Bachelors,3.9,2.0,1.0,0.467,"Hadoop, Java, Python, Scikit-learn, TensorFlow"
FIT0025,"AWS, Excel, Linux, Pandas, Python, Scikit-learn, TensorFlow, TypeScript","CI/CD, Django, Docker, Node.js, Python, R, SQL",Masters,4.5,1.0,0.0,0.445,"AWS, Excel, Linux, Pandas, Scikit-learn, TensorFlow, TypeScript"
FIT0026,"CI/CD, Flask, GCP, Linux, Pandas, Spark","Azure, ETL, GraphQL, PyTorch, Python, React, TensorFlow",Bachelors,2.4,0.0,0.0,0.222,"CI/CD, Flask, GCP, Linux, Pandas, Spark"
FIT0027,"AWS, CI/CD, ETL, Excel, Pandas, React, TensorFlow","AWS, Azure, CI/CD, Docker, Java, JavaScript, REST",Masters,4.0,2.0,0.0,0.53,"ETL, Excel, Pandas, React, TensorFlow"
FIT0028,"Airflow, Kubernetes, Node.js, REST, Spark","GraphQL, Kubernetes, Pandas, React",Masters,1.8,1.0,0.0,0.364,"Airflow, Node.js, REST, Spark"
FIT0029,"AWS, Django, Node.js, Python, Tableau, TypeScript","Kubernetes, Python, SQL, Tableau, TensorFlow",Bachelors,0.0,2.0,0.0,0.35,"AWS, Django, Node.js, TypeScript"
FIT0030,"Django, Docker, Kubernetes, Node.js, SQL","Docker, Kubernetes, Pandas, Python, React, SQL",PhD,5.2,3.0,0.0,0.666,"Django, Node.js"
FIT0031,"Airflow, Azure, Hadoop, Spark, TensorFlow","Azure, CI/CD, ETL, Linux, Python, REST, React, SQL",Masters,3.1,1.0,1.0,0.403,"Airflow, Hadoop, Spark, TensorFlow"
FIT0032,"AWS, CI/CD, Excel, Node.js, Python","Django, Docker, Git, Node.js, NumPy, Power BI, Python, TensorFlow",Bachelors,6.6,2.0,1.0,0.548,"AWS, CI/CD, Excel"
FIT0033,"Excel, Flask, GCP, Git, Linux, SQL","Excel, Flask, PyTorch, SQL, TensorFlow, TypeScript",Bachelors,7.1,3.0,0.0,0.663,"GCP, Git, Linux"
fit0034,"airflow, gcp, graphql, kubernetes, pandas, rest, react","excel, flask, java, python, r, react, sql, tensorflow",masters,5.3,1.0,1.0,0.469,"airflow, gcp, graphql, kubernetes, pandas, rest"
FIT0035,"AWS, Azure, Docker, GCP, Power BI, React","Excel, Flask, NumPy, R, Scikit-learn",Masters,0.9,0.0,0.0,0.237,"AWS, Azure, Docker, GCP, Power BI, React"
FIT0036,"AWS, ETL, Git, Hadoop, Scikit-learn","Flask, GCP, Hadoop, Python, Spark, Tableau",Bachelors,5.6,1.0,1.0,0.418,"AWS, ETL, Git, Scikit-learn"
FIT0037,"Azure, CI/CD, Django, GCP, Kubernetes, REST, React, Spark","Azure, ETL, Flask, Linux, Node.js, Power BI, PyTorch, Python, Scikit-learn, Spark",Bachelors,2.5,2.0,1.0,0.425,"CI/CD, Django, GCP, Kubernetes, REST, React"
FIT0038,"CI/CD, ETL, Java, PyTorch, Python, React, Spark","Azure, Django, Excel, GraphQL, Linux, Node.js, NumPy, Power BI, R, Spark",Bachelors,7.1,1.0,1.0,0.463,"CI/CD, ETL, Java, PyTorch, Python, React"
FIT0039,"CI/CD, Excel, Kubernetes, Power BI, Spark","Airflow, Azure, CI/CD, NumPy, Python, React, TensorFlow",Masters,3.8,1.0,1.0,0.424,"Excel, Kubernetes, Power BI, Spark"
FIT0040,"CI/CD, Docker, ETL, GCP, Java, NumPy, PyTorch, REST","AWS, JavaScript, PyTorch, Python, React, SQL, Scikit-learn, Spark, Tableau",Masters,1.0,1.0,0.0,0.34,"CI/CD, Docker, ETL, GCP, Java, NumPy, REST"
FIT0041,"Airflow, Azure, CI/CD, GCP, JavaScript, SQL, Tableau","Linux, Pandas, Python, REST, SQL, TypeScript",Bachelors,5.9,1.0,0.0,0.427,"Airflow, Azure, CI/CD, GCP, JavaScript, Tableau"
FIT0042,"Airflow, ETL, GraphQL, Linux, PyTorch","Django, GCP, Git, Node.js, TensorFlow",Masters,4.1,0.0,0.0,0.333,"Airflow, ETL, GraphQL, Linux, PyTorch"
FIT0043,"Docker, ETL, Excel, Flask, GraphQL, TypeScript","Azure, Django, Python, REST, Tableau, TensorFlow",Masters,0.7,0.0,0.0,0.231,"Docker, ETL, Excel, Flask, GraphQL, TypeScript"
FIT0044,"Java, JavaScript, Linux, Power BI, Python","AWS, Airflow, Django, ETL, Java, Node.js, NumPy, REST, SQL, Tableau",Masters,7.6,1.0,0.0,0.538,"JavaScript, Linux, Power BI, Python"
FIT0045,"Django, Excel, Kubernetes, Pandas, R, SQL","AWS, Azure, ETL, Git, PyTorch, R, SQL",Bachelors,2.4,2.0,0.0,0.422,"Django, Excel, Kubernetes, Pandas"
FIT0046,"Hadoop, JavaScript, Linux, Scikit-learn, TypeScript","Git, Kubernetes, PyTorch, Spark, TypeScript",PhD,5.1,1.0,0.0,0.463,"Hadoop, JavaScript, Linux, Scikit-learn"
FIT0047,"AWS, PyTorch, Python, REST, React, Tableau","Azure, CI/CD, ETL, GraphQL, Hadoop, Kubernetes, PyTorch, React, Tableau",Bachelors,3.3,,0.0,,"AWS, Python, REST"
FIT0048,"Excel, Kubernetes, React, TensorFlow, TypeScript","Docker, Excel, Flask, Kubernetes, R, REST",Bachelors,3.6,2.0,0.0,0.458,"React, TensorFlow, TypeScript"
FIT0049,"ETL, Excel, GraphQL, Kubernetes, NumPy, Power BI, PyTorch, Tableau","Docker, Excel, GraphQL, Hadoop, SQL, Scikit-learn, TensorFlow",Bachelors,1.5,2.0,0.0,0.395,"ETL, Kubernetes, NumPy, Power BI, PyTorch, Tableau"
FIT0050,"Excel, Git, Kubernetes, PyTorch, SQL, TensorFlow, TypeScript","CI/CD, Excel, Flask, Git, Power BI, PyTorch, R, React",Bachelors,4.5,3.0,1.0,0.585,"Kubernetes, SQL, TensorFlow, TypeScript"
FIT0051,"Django, Docker, Excel, Kubernetes, Power BI, SQL, Scikit-learn","Azure, Docker, Excel, GraphQL, Java, Node.js, SQL, Scikit-learn, Spark, TensorFlow",Masters,3.4,4.0,0.0,0.712,"Django, Kubernetes, Power BI"
FIT0052,"Git, Hadoop, PyTorch, Python, REST","Azure, GraphQL, Java, Kubernetes, Linux, PyTorch, R, REST, TypeScript",Masters,4.2,2.0,1.0,0.536,"Git, Hadoop, Python"
FIT0053,"GraphQL, Node.js, Pandas, Spark, Tableau, TypeScript","Docker, Hadoop, R, TypeScript",Bachelors,2.8,1.0,0.0,0.334,"GraphQL, Node.js, Pandas, Spark, Tableau"
FIT0054,"AWS, ETL, Power BI, SQL, Scikit-learn","AWS, Airflow, GraphQL, Java, Python, SQL, Spark, Tableau, TensorFlow, TypeScript",Bachelors,4.9,2.0,1.0,0.497,"ETL, Power BI, Scikit-learn"
FIT0055,"Git, Hadoop, Kubernetes, PyTorch, REST, SQL, TypeScript","CI/CD, Django, ETL, GCP, Kubernetes, Power BI, TensorFlow",Bachelors,4.1,1.0,0.0,0.373,"Git, Hadoop, PyTorch, REST, SQL, TypeScript"
FIT0056,"ETL, Linux, NumPy, Power BI, PyTorch, R, React, Spark","AWS, Hadoop, NumPy, PyTorch, Python, R, React",Bachelors,4.9,4.0,1.0,0.697,"ETL, Linux, Power BI, Spark"
FIT0057,"CI/CD, GraphQL, JavaScript, Kubernetes, Linux, Pandas, Tableau","Excel, Kubernetes, Linux, Pandas, Power BI, Scikit-learn",PhD,1.8,3.0,0.0,0.564,"CI/CD, GraphQL, JavaScript, Tableau"
FIT0058,"Azure, ETL, NumPy, PyTorch, R, React","AWS, Django, Docker, Node.js, Power BI, SQL, Spark",Bachelors,2.7,0.0,1.0,0.231,"Azure, ETL, NumPy, PyTorch, R, React"
FIT0059,"Airflow, JavaScript, Power BI, REST, Scikit-learn, TypeScript","Excel, Flask, R, TensorFlow",PhD,2.2,0.0,1.0,0.276,"Airflow, JavaScript, Power BI, REST, Scikit-learn, TypeScript"
FIT0060,"AWS, Django, Hadoop, Pandas, Scikit-learn","Airflow, Azure, Flask, Git, Java, JavaScript, Node.js, React",Bachelors,2.2,0.0,0.0,0.216,"AWS, Django, Hadoop, Pandas, Scikit-learn"
fit0061,"aws, ci/cd, git, graphql, hadoop, java, kubernetes, node.js","aws, etl, graphql, numpy, power bi, sql, scikit-learn, tableau",masters,4.5,2.0,0.0,0.545,"ci/cd, git, hadoop, java, kubernetes, node.js"
FIT0062,"Git, Hadoop, Java, Kubernetes, Power BI, SQL, Scikit-learn","CI/CD, Docker, Excel, GCP, Java, Kubernetes, Python, Spark, TensorFlow",Bachelors,3.6,2.0,0.0,0.458,"Git, Hadoop, Power BI, SQL, Scikit-learn"
FIT0063,"CI/CD, Node.js, Power BI, PyTorch, REST, Spark","Django, Node.js, Power BI, Scikit-learn",PhD,2.0,2.0,0.0,0.47,"CI/CD, PyTorch, REST, Spark"
FIT0064,"GraphQL, Hadoop, Java, JavaScript, Tableau, TypeScript","Azure, Excel, Pandas, PyTorch, Scikit-learn, TensorFlow, TypeScript",Bachelors,3.3,1.0,1.0,0.349,"GraphQL, Hadoop, Java, JavaScript, Tableau"
FIT0065,"Azure, GCP, Kubernetes, Node.js, Power BI, SQL","AWS, CI/CD, Django, Hadoop, JavaScript, Linux, REST, Spark",Masters,6.4,0.0,0.0,0.402,"Azure, GCP, Kubernetes, Node.js, Power BI, SQL"
FIT0066,"Django, Hadoop, Java, JavaScript, Kubernetes, Node.js, Python","Airflow, Azure, Excel, Flask, Hadoop, Linux, React, Spark, Tableau, TensorFlow",Masters,3.8,1.0,0.0,0.424,"Django, Java, JavaScript, Kubernetes, Node.js, Python"
FIT0067,"Airflow, Azure, Flask, React, Scikit-learn, TypeScript","CI/CD, Pandas, Python, SQL, Tableau",Bachelors,1.6,0.0,0.0,0.198,"Airflow, Azure, Flask, React, Scikit-learn, TypeScript"
FIT0068,"CI/CD, Django, Linux, Node.js, NumPy, Python, REST, SQL","CI/CD, ETL, JavaScript, Kubernetes, NumPy, PyTorch, Python, REST, Scikit-learn",Bachelors,2.9,4.0,1.0,0.637,"Django, Linux, Node.js, SQL"
FIT0069,"Airflow, Java, NumPy, REST, Tableau","AWS, Azure, Django, JavaScript",Masters,4.5,0.0,1.0,0.345,"Airflow, Java, NumPy, REST, Tableau"
FIT0070,"CI/CD, Flask, Java, NumPy, R, SQL, Scikit-learn","Excel, Git, Pandas, Scikit-learn",Masters,0.0,1.0,0.0,0.31,"CI/CD, Flask, Java, NumPy, R, SQL"
FIT0071,"GCP, Git, Java, Kubernetes, Linux, Pandas, TensorFlow","Airflow, Django, Excel, Flask, JavaScript, Pandas, Power BI, Python, React, Tableau",Bachelors,0.0,1.0,0.0,0.25,"GCP, Git, Java, Kubernetes, Linux, TensorFlow"
FIT0072,"Airflow, Pandas, REST, Tableau, TensorFlow","Django, Docker, ETL, GCP, Java, Kubernetes, Node.js, PyTorch, REST, SQL",Bachelors,1.2,1.0,0.0,0.286,"Airflow, Pandas, Tableau, TensorFlow"
FIT0073,"AWS, CI/CD, Excel, Python, REST, TensorFlow","CI/CD, Flask, Git, Linux, Power BI, PyTorch, R, React, Scikit-learn, Spark",Bachelors,3.3,1.0,1.0,0.349,"AWS, Excel, Python, REST, TensorFlow"
FIT0074,"AWS, CI/CD, Docker, Power BI, Tableau","GCP, Git, Power BI, Scikit-learn, Spark",Bachelors,1.9,1.0,0.0,0.307,"AWS, CI/CD, Docker, Tableau"
FIT0075,"Airflow, CI/CD, Django, ETL, GraphQL, Java, JavaScript, Node.js","Airflow, Azure, GCP, Git, R, React, TypeScript",Bachelors,3.3,1.0,0.0,0.349,"CI/CD, Django, ETL, GraphQL, Java, JavaScript, Node.js"
FIT0076,"Azure, Excel, Git, NumPy, Pandas, PyTorch, Spark","Azure, CI/CD, PyTorch, R, Tableau",Masters,4.3,2.0,0.0,0.539,"Excel, Git, NumPy, Pandas, Spark"
FIT0077,"Airflow, Excel, Git, Java, REST, React, SQL","Flask, Pandas, REST, React",Bachelors,2.5,2.0,1.0,0.425,"Airflow, Excel, Git, Java, SQL"
FIT0078,"ETL, Flask, JavaScript, Kubernetes, Power BI, Spark","CI/CD, Docker, Excel, GCP, GraphQL, Linux, R, React, Spark, TypeScript",Bachelors,3.2,1.0,0.0,0.346,"ETL, Flask, JavaScript, Kubernetes, Power BI"
FIT0079,"Docker, Flask, Linux, Pandas, R, SQL, Scikit-learn","Airflow, CI/CD, Django, Flask, GraphQL, Java, React, SQL, Spark",Bachelors,3.1,2.0,0.0,0.443,"Docker, Linux, Pandas, R, Scikit-learn"
FIT0080,"Airflow, Excel, Node.js, SQL, TensorFlow","Excel, Git, JavaScript, SQL, Scikit-learn, Spark",Bachelors,5.0,2.0,1.0,0.5,"Airflow, Node.js, TensorFlow"
FIT0081,"JavaScript, Node.js, NumPy, Power BI, PyTorch, React, Spark, Tableau","Docker, ETL, Excel, Linux, PyTorch, TypeScript",Bachelors,4.3,1.0,1.0,0.379,"JavaScript, Node.js, NumPy, Power BI, React, Spark, Tableau"
FIT0082,"Airflow, GCP, Kubernetes, Node.js, NumPy, PyTorch, React","CI/CD, ETL, Flask, JavaScript, Kubernetes, Node.js, Pandas, Tableau, TensorFlow, TypeScript",Bachelors,4.5,2.0,1.0,0.485,"Airflow, GCP, NumPy, PyTorch, React"
FIT0083,"Django, Git, GraphQL, JavaScript, Kubernetes, Python, Scikit-learn","Azure, Django, Hadoop, Java, Tableau",Bachelors,3.6,1.0,0.0,0.358,"Git, GraphQL, JavaScript, Kubernetes, Python, Scikit-learn"
FIT0084,"Docker, Git, JavaScript, Python, SQL","Azure, Docker, Linux, TypeScript",Bachelors,1.8,1.0,,0.304,"Git, JavaScript, Python, SQL"
FIT0085,"Airflow, Excel, Java, Node.js, PyTorch, Python, Tableau","Azure, CI/CD, Django, Kubernetes, Node.js, R, TypeScript",Bachelors,1.9,1.0,0.0,0.307,"Airflow, Excel, Java, PyTorch, Python, Tableau"
FIT0086,"Azure, GCP, Git, Scikit-learn, Spark, Tableau","GCP, Java, JavaScript, Linux, Pandas, PyTorch, Spark",Masters,4.1,2.0,0.0,0.533,"Azure, Git, Scikit-learn, Tableau"
FIT0087,"ETL, Flask, Hadoop, Pandas, React, Spark, TypeScript","Django, Docker, ETL, Excel, Flask, Kubernetes, Linux, Node.js, Spark, TensorFlow",Masters,2.3,3.0,1.0,0.579,"Hadoop, Pandas, React, TypeScript"
FIT0088,"CI/CD, Excel, Kubernetes, Node.js, Python, SQL, Spark","Docker, GraphQL, Pandas, TypeScript",Masters,2.7,0.0,0.0,0.291,"CI/CD, Excel, Kubernetes, Node.js, Python, SQL, Spark"
FIT0089,"Airflow, Azure, CI/CD, Kubernetes, Node.js, Tableau","AWS, Azure, ETL, GCP, Kubernetes, REST, Spark",Masters,1.4,2.0,0.0,0.452,"Airflow, CI/CD, Node.js, Tableau"
FIT0090,"AWS, CI/CD, Excel, GCP, Git, JavaScript, REST","Django, ETL, Python, REST",Masters,4.3,1.0,0.0,0.439,"AWS, CI/CD, Excel, GCP, Git, JavaScript"
FIT0091,"CI/CD, Hadoop, Java, Linux, Power BI, TensorFlow","AWS, Azure, CI/CD, Docker, ETL, Node.js, Power BI, PyTorch, R",Bachelors,3.3,2.0,0.0,0.449,"Hadoop, Java, Linux, TensorFlow"
FIT0092,"Airflow, Django, Flask, Git, NumPy, SQL","ETL, Excel, GCP, JavaScript, Node.js, PyTorch, R, TypeScript",Bachelors,2.3,0.0,0.0,0.219,"Airflow, Django, Flask, Git, NumPy, SQL"
FIT0093,"Azure, GraphQL, JavaScript, Power BI, SQL, Spark, Tableau, TensorFlow","Git, Java, Kubernetes, Linux, NumPy, TypeScript",Masters,2.9,0.0,0.0,0.297,"Azure, GraphQL, JavaScript, Power BI, SQL, Spark, Tableau, TensorFlow"
FIT0094,"Airflow, Hadoop, R, React, Spark","AWS, Flask, Git, Hadoop, PyTorch, Python, R, REST, TensorFlow",PhD,3.4,2.0,1.0,0.512,"Airflow, React, Spark"
FIT0095,"CI/CD, GraphQL, Linux, Pandas, REST, TensorFlow","ETL, Flask, Git, R, Scikit-learn",Masters,5.5,0.0,1.0,0.375,"CI/CD, GraphQL, Linux, Pandas, REST, TensorFlow"
FIT0096,"Azure, Django, Docker, Git, R, TensorFlow","Java, Kubernetes, Python, Spark",Bachelors,6.0,0.0,0.0,0.33,"Azure, Django, Docker, Git, R, TensorFlow"
FIT0097,"Flask, GCP, Hadoop, NumPy, PyTorch, TensorFlow","Docker, ETL, GCP, JavaScript, PyTorch, Scikit-learn, TensorFlow, TypeScript",Masters,0.8,3.0,1.0,0.534,"Flask, Hadoop, NumPy"
FIT0098,"Django, Docker, Excel, Flask, Kubernetes, Linux, Python, SQL","Azure, CI/CD, Django, Docker, Linux, NumPy, Pandas, Spark, TensorFlow",Bachelors,4.9,3.0,0.0,0.597,"Excel, Flask, Kubernetes, Python, SQL"
