id,required_skills,candidate_skills,degree,years_experience,overlap,fit,probability,missing_skills
FIT0099,"Flask, Hadoop, NumPy, Power BI, PyTorch, Tableau","Airflow, Azure, Docker, Flask, NumPy, REST, SQL, TensorFlow",Bachelors,5.4,2.0,0.0,0.512,"Hadoop, Power BI, PyTorch, Tableau"
FIT0100,"Airflow, Docker, Git, Kubernetes, NumPy, Power BI, PyTorch","AWS, ETL, Flask, Git, GraphQL, Kubernetes, Pandas, REST, Scikit-learn, TensorFlow",Bachelors,2.5,2.0,1.0,0.425,"Airflow, Docker, NumPy, Power BI, PyTorch"
FIT0101,"ETL, Hadoop, JavaScript, Pandas, SQL, Tableau","Flask, Java, JavaScript, Node.js",Masters,3.5,1.0,0.0,0.415,"ETL, Hadoop, Pandas, SQL, Tableau"
FIT0102,"Flask, Git, Hadoop, Kubernetes, Node.js, Python, R, TypeScript","Airflow, Azure, GCP, Java, Linux, Node.js, NumPy, Power BI, REST",Masters,1.0,1.0,0.0,0.34,"Flask, Git, Hadoop, Kubernetes, Python, R, TypeScript"
FIT0103,"Airflow, Azure, Docker, Node.js, TypeScript","Azure, Linux, NumPy, REST, Spark, Tableau",Bachelors,2.3,1.0,0.0,0.319,"Airflow, Docker, Node.js, TypeScript"
FIT0104,"Docker, GCP, Kubernetes, Node.js, R, Spark","ETL, Git, GraphQL, Hadoop, Linux, Python, REST",Bachelors,1.0,0.0,0.0,0.18,"Docker, GCP, Kubernetes, Node.js, R, Spark"
FIT0105,"Django, Excel, GCP, REST, Scikit-learn, Spark, Tableau","Azure, CI/CD, Git, Hadoop, Node.js, Python, SQL, Tableau",Bachelors,2.4,1.0,1.0,0.322,"Django, Excel, GCP, REST, Scikit-learn, Spark"
FIT0106,"Airflow, Django, Java, JavaScript, Kubernetes, NumPy, Tableau","Excel, Pandas, Power BI, Tableau",Masters,3.8,1.0,0.0,0.424,"Airflow, Django, Java, JavaScript, Kubernetes, NumPy"
FIT0107,"Airflow, CI/CD, GraphQL, Power BI, PyTorch, R","Excel, Linux, Pandas, PyTorch, REST, TypeScript",Bachelors,3.5,1.0,1.0,0.355,"Airflow, CI/CD, GraphQL, Power BI, R"
FIT0108,"Airflow, Flask, GraphQL, SQL, Tableau","Azure, Flask, GCP, GraphQL, JavaScript, NumPy, Pandas, Power BI, React, SQL",No Degree,5.4,3.0,0.0,0.612,"Airflow, Tableau"
FIT0109,"Excel, NumPy, PyTorch, SQL, Spark","Azure, CI/CD, PyTorch, Spark",Bachelors,1.5,2.0,0.0,0.395,"Excel, NumPy, SQL"
fit0110,"ci/cd, gcp, hadoop, java, tableau, tensorflow","azure, django, flask, node.js",bachelors,4.1,0.0,0.0,0.273,"ci/cd, gcp, hadoop, java, tableau, tensorflow"
FIT0111,"Flask, Java, JavaScript, NumPy, Python, REST","Airflow, ETL, Excel, JavaScript, SQL",Masters,4.4,1.0,1.0,0.442,"Flask, Java, NumPy, Python, REST"
FIT0112,"Airflow, ETL, Java, Node.js, R","CI/CD, Excel, Git, JavaScript, Kubernetes, Linux, Node.js, NumPy, Pandas, Tableau",Bachelors,1.4,1.0,0.0,0.292,"Airflow, ETL, Java, R"
FIT0113,"Django, Python, React, Tableau, TypeScript","AWS, Django, GCP, Kubernetes, NumPy, REST, Spark, Tableau, TensorFlow",Bachelors,5.2,2.0,0.0,0.506,"Python, React, TypeScript"
FIT0114,"AWS, Azure, ETL, JavaScript, Python, Spark","AWS, GCP, Git, Kubernetes, Linux, Node.js, NumPy, SQL, Scikit-learn, Spark",Bachelors,6.0,2.0,0.0,0.53,"Azure, ETL, JavaScript, Python"
FIT0115,"AWS, Airflow, Django, Flask, NumPy","AWS, CI/CD, Flask, JavaScript, Pandas, Python, React, SQL",Bachelors,5.1,2.0,1.0,0.503,"Airflow, Django, NumPy"
FIT0116,"Docker, Flask, GCP, Node.js, Power BI, PyTorch, TypeScript","Azure, Docker, Excel, Hadoop, NumPy, TypeScript",Bachelors,6.2,2.0,1.0,0.536,"Flask, GCP, Node.js, Power BI, PyTorch"
FIT0117,"Azure, ETL, Hadoop, Node.js, Power BI, SQL, Scikit-learn","Azure, CI/CD, Flask, Linux, Node.js",Masters,2.6,2.0,0.0,0.488,"ETL, Hadoop, Power BI, SQL, Scikit-learn"
FIT0118,"Airflow, Django, Java, Node.js, Pandas, PyTorch, R, TypeScript","JavaScript, Kubernetes, React, Scikit-learn",Bachelors,0.3,0.0,0.0,0.159,"Airflow, Django, Java, Node.js, Pandas, PyTorch, R, TypeScript"
FIT0119,"ETL, NumPy, R, REST, SQL","AWS, CI/CD, Java, NumPy, REST",Masters,2.8,2.0,0.0,0.494,"ETL, R, SQL"
FIT0120,"Azure, Django, Excel, REST, React, Scikit-learn","Docker, Git, Java, REST, Spark",Masters,3.2,1.0,0.0,0.406,"Azure, Django, Excel, React, Scikit-learn"
FIT0121,"CI/CD, Git, NumPy, PyTorch, R, Scikit-learn","Azure, Docker, GCP, GraphQL, Linux, React, SQL, Tableau",Bachelors,4.6,0.0,0.0,,"CI/CD, Git, NumPy, PyTorch, R, Scikit-learn"
FIT0122,"Java, Node.js, PyTorch, R, REST, Spark, Tableau, TypeScript","CI/CD, Django, ETL, Git, Java, Kubernetes, NumPy, Scikit-learn, TensorFlow",Bachelors,4.8,1.0,0.0,0.394,"Node.js, PyTorch, R, REST, Spark, Tableau, TypeScript"
FIT0123,"Django, ETL, Flask, Kubernetes, Node.js, NumPy, Pandas","AWS, Excel, Kubernetes, Linux, React, TypeScript",Bachelors,9.1,1.0,,0.523,"Django, ETL, Flask, Node.js, NumPy, Pandas"
FIT0124,"AWS, Excel, Hadoop, Kubernetes, Pandas, Tableau, TensorFlow","AWS, Java, Linux, NumPy, Spark, Tableau",Masters,2.0,2.0,0.0,0.47,"Excel, Hadoop, Kubernetes, Pandas, TensorFlow"
FIT0125,"Airflow, Azure, Docker, Excel, Hadoop, Power BI, REST","Azure, CI/CD, Java, Kubernetes, Linux, Node.js, TensorFlow, TypeScript",Bachelors,,1.0,0.0,0.382,"Airflow, Docker, Excel, Hadoop, Power BI, REST"
FIT0126,"Airflow, ETL, JavaScript, PyTorch, REST, Tableau","ETL, Git, Linux, Pandas, Power BI, Python, SQL, TensorFlow",Bachelors,2.7,1.0,0.0,0.331,"Airflow, JavaScript, PyTorch, REST, Tableau"
FIT0127,"AWS, Kubernetes, PyTorch, Tableau, TensorFlow","AWS, JavaScript, Power BI, Python, R, REST, SQL, Scikit-learn, Spark",Bachelors,3.4,1.0,1.0,0.352,"Kubernetes, PyTorch, Tableau, TensorFlow"
FIT0128,"AWS, Django, ETL, GraphQL, JavaScript, Linux, NumPy, Python","CI/CD, Django, ETL, Excel, NumPy, PyTorch, Tableau, TensorFlow",Bachelors,1.1,3.0,0.0,0.483,"AWS, GraphQL, JavaScript, Linux, Python"
FIT0129,"CI/CD, GCP, JavaScript, Python, React, SQL, Tableau","Django, ETL, Git, Pandas, PyTorch, Scikit-learn, TypeScript",Bachelors,4.2,0.0,1.0,0.276,"CI/CD, GCP, JavaScript, Python, React, SQL, Tableau"
FIT0130,"Excel, Flask, R, React, Spark","ETL, Hadoop, Linux, Pandas, Scikit-learn, TypeScript",Bachelors,4.0,0.0,1.0,0.27,"Excel, Flask, R, React, Spark"
FIT0131,"AWS, Excel, Node.js, Pandas, REST, Spark","AWS, Airflow, Excel, Flask, Git, Kubernetes, Linux, NumPy, Power BI, PyTorch",Bachelors,4.9,2.0,1.0,0.497,"Node.js, Pandas, REST, Spark"
FIT0132,"Excel, Flask, Kubernetes, Python, Scikit-learn","JavaScript, Kubernetes, NumPy, REST, React",Bachelors,4.7,1.0,0.0,0.391,"Excel, Flask, Python, Scikit-learn"
FIT0133,"Django, Docker, Git, Java, PyTorch, R, REST, SQL","Git, Hadoop, Pandas, Tableau",Bachelors,4.4,1.0,0.0,0.382,"Django, Docker, Java, PyTorch, R, REST, SQL"
FIT0134,"Airflow, Azure, NumPy, Power BI, React, SQL, Spark","Airflow, ETL, Hadoop, Kubernetes",Bachelors,0.4,1.0,1.0,0.262,"Azure, NumPy, Power BI, React, SQL, Spark"
FIT0135,"AWS, Git, JavaScript, NumPy, Power BI, R, TensorFlow","Azure, CI/CD, ETL, Flask, NumPy, PyTorch, TypeScript",Masters,6.0,1.0,1.0,0.49,"AWS, Git, JavaScript, Power BI, R, TensorFlow"
FIT0136,"Django, Excel, Git, R, SQL, Spark, TypeScript","Git, GraphQL, Java, NumPy, Power BI, PyTorch, Scikit-learn, Tableau, TensorFlow",Masters,2.1,1.0,1.0,0.373,"Django, Excel, R, SQL, Spark, TypeScript"
FIT0137,"CI/CD, Docker, Kubernetes, Node.js, Python","AWS, Django, NumPy, Tableau",No Degree,5.3,0.0,0.0,0.309,"CI/CD, Docker, Kubernetes, Node.js, Python"
FIT0138,"CI/CD, Java, Kubernetes, PyTorch, R, Scikit-learn, Spark","CI/CD, Django, Flask, JavaScript, Pandas, Power BI, SQL",Bachelors,4.6,1.0,0.0,0.388,"Java, Kubernetes, PyTorch, R, Scikit-learn, Spark"
FIT0139,"Azure, CI/CD, Excel, Git, GraphQL, Tableau","AWS, Airflow, Docker, Excel, GraphQL, Java, Kubernetes, Scikit-learn, TensorFlow",Bachelors,4.3,2.0,0.0,0.479,"Azure, CI/CD, Git, Tableau"
FIT0140,"Java, Kubernetes, Node.js, Pandas, Power BI, REST, SQL, Scikit-learn","Hadoop, Pandas, PyTorch, SQL",Masters,3.9,2.0,0.0,0.527,"Java, Kubernetes, Node.js, Power BI, REST, Scikit-learn"
FIT0141,"AWS, Excel, Hadoop, PyTorch, Scikit-learn, TypeScript","Django, ETL, Linux, Spark, TypeScript",Bachelors,3.6,1.0,1.0,0.358,"AWS, Excel, Hadoop, PyTorch, Scikit-learn"
FIT0142,"Airflow, Flask, Kubernetes, NumPy, Scikit-learn","CI/CD, Excel, Git, Java, JavaScript, Node.js, PyTorch, SQL, Tableau",Bachelors,,0.0,1.0,,"Airflow, Flask, Kubernetes, NumPy, Scikit-learn"
FIT0143,"Azure, ETL, GCP, JavaScript, NumPy","Airflow, Git, Hadoop, Kubernetes, Pandas, Spark, Tableau, TensorFlow, TypeScript",Bachelors,2.7,0.0,0.0,0.231,"Azure, ETL, GCP, JavaScript, NumPy"
FIT0144,"CI/CD, Git, Java, Linux, Pandas, Python","Airflow, Flask, GCP, Java, Linux, NumPy, R",Bachelors,4.0,2.0,,0.47,"CI/CD, Git, Pandas, Python"
FIT0145,"Git, JavaScript, Kubernetes, Linux, PyTorch, REST, Tableau, TypeScript","AWS, Airflow, Django, JavaScript, Kubernetes, R, Scikit-learn, Tableau",Bachelors,1.0,3.0,1.0,0.48,"Git, Linux, PyTorch, REST, TypeScript"
FIT0146,"Airflow, Docker, ETL, Flask, Hadoop, JavaScript","Azure, Hadoop, NumPy, React, TensorFlow, TypeScript",Masters,2.0,1.0,1.0,,"Airflow, Docker, ETL, Flask, JavaScript"
FIT0147,"Azure, Git, Hadoop, JavaScript, Linux, Python, R, Scikit-learn","GCP, Git, Power BI, R, REST, TypeScript",Masters,0.2,2.0,0.0,0.416,"Azure, Hadoop, JavaScript, Linux, Python, Scikit-learn"
FIT0148,"Docker, Excel, Kubernetes, Node.js, REST, Spark, TypeScript","Excel, GraphQL, Hadoop, JavaScript, Kubernetes, R, REST, Scikit-learn, TensorFlow",Bachelors,,3.0,0.0,0.54,"Docker, Node.js, Spark, TypeScript"
FIT0149,"Airflow, Django, Docker, Flask, Pandas, Power BI, Spark","Excel, Hadoop, JavaScript, Linux, Spark",PhD,4.2,1.0,0.0,0.436,"Airflow, Django, Docker, Flask, Pandas, Power BI"
FIT0150,"Flask, Java, NumPy, Power BI, R, REST","Excel, Git, Hadoop, Node.js, Pandas, React, Tableau",Bachelors,4.8,0.0,1.0,0.294,"Flask, Java, NumPy, Power BI, R, REST"
FIT0151,"CI/CD, ETL, GCP, Git, Python, Scikit-learn, Tableau","Excel, GraphQL, Hadoop, Node.js, Python, Tableau, TypeScript",Masters,0.9,2.0,0.0,0.437,"CI/CD, ETL, GCP, Git, Scikit-learn"
FIT0152,"Django, GCP, Java, JavaScript, R, Scikit-learn, TensorFlow","AWS, Docker, Tableau, TensorFlow",Masters,2.7,1.0,0.0,0.391,"Django, GCP, Java, JavaScript, R, Scikit-learn"
FIT0153,"AWS, CI/CD, Docker, Kubernetes, React, Spark","Azure, CI/CD, NumPy, SQL",Bachelors,2.6,,0.0,0.328,"AWS, Docker, Kubernetes, React, Spark"
FIT0154,"Airflow, ETL, Hadoop, Power BI, PyTorch, Python","Flask, Java, Kubernetes, Node.js",Bachelors,6.5,0.0,0.0,0.345,"Airflow, ETL, Hadoop, Power BI, PyTorch, Python"
FIT0155,"Azure, Git, Linux, Node.js, R, React","CI/CD, Docker, GCP, Java, JavaScript, Kubernetes, Python, R, React, Scikit-learn",Bachelors,3.8,2.0,0.0,0.464,"Azure, Git, Linux, Node.js"
FIT0156,"Django, GCP, Hadoop, Kubernetes, Linux, React","Excel, Flask, Node.js, React, Scikit-learn, Spark, TypeScript",Bachelors,3.0,1.0,0.0,0.34,"Django, GCP, Hadoop, Kubernetes, Linux"
FIT0157,"CI/CD, GCP, Pandas, Power BI, Python","Hadoop, NumPy, Python, TypeScript",Bachelors,4.3,1.0,1.0,0.379,"CI/CD, GCP, Pandas, Power BI"
FIT0158,"AWS, CI/CD, ETL, Git, Hadoop, JavaScript, NumPy, REST","AWS, GraphQL, PyTorch, TypeScript",Masters,6.1,1.0,1.0,0.493,"CI/CD, ETL, Git, Hadoop, JavaScript, NumPy, REST"
FIT0159,"Docker, ETL, Flask, Hadoop, Spark, Tableau","Airflow, Excel, GCP, Hadoop, JavaScript, Linux, React, SQL",Bachelors,1.9,1.0,1.0,0.307,"Docker, ETL, Flask, Spark, Tableau"
FIT0160,"Excel, Flask, Java, NumPy, REST, Scikit-learn, Spark","ETL, Hadoop, PyTorch, Python, R, REST, Tableau",Bachelors,2.9,1.0,0.0,0.337,"Excel, Flask, Java, NumPy, Scikit-learn, Spark"
FIT0161,"ETL, Hadoop, NumPy, PyTorch, Scikit-learn, Tableau","CI/CD, Django, GraphQL, Hadoop, NumPy, PyTorch, Python, R, Tableau, TypeScript",Masters,3.0,4.0,0.0,0.7,"ETL, Scikit-learn"
FIT0162,"ETL, GraphQL, Java, Kubernetes, Linux, Node.js, R","Git, Hadoop, Pandas, Scikit-learn, Spark",Masters,2.9,0.0,0.0,0.297,"ETL, GraphQL, Java, Kubernetes, Linux, Node.js, R"
FIT0163,"AWS, JavaScript, Kubernetes, Linux, Pandas, REST, TypeScript","Airflow, ETL, Java, Linux, Pandas, PyTorch, Scikit-learn, TensorFlow",No Degree,2.8,2.0,0.0,0.434,"AWS, JavaScript, Kubernetes, REST, TypeScript"
FIT0164,"AWS, Django, ETL, Pandas, Spark, TypeScript","Azure, Django, Docker, Excel, Kubernetes, Linux, NumPy, R, SQL, TypeScript",Masters,1.0,2.0,0.0,0.44,"AWS, ETL, Pandas, Spark"
FIT0165,"Airflow, Hadoop, Linux, Pandas, R","CI/CD, Docker, ETL, NumPy",Bachelors,5.1,0.0,0.0,0.303,"Airflow, Hadoop, Linux, Pandas, R"
FIT0166,"Azure, ETL, GCP, REST, Spark, Tableau","Java, Pandas, Scikit-learn, TypeScript",PhD,4.4,0.0,0.0,0.342,"Azure, ETL, GCP, REST, Spark, Tableau"
FIT0167,"AWS, Excel, Linux, PyTorch, Spark","Docker, Flask, GCP, Node.js, NumPy, TensorFlow",No Degree,2.4,0.0,1.0,0.222,"AWS, Excel, Linux, PyTorch, Spark"
FIT0168,"AWS, Docker, Excel, GCP, NumPy","Docker, Flask, GCP, GraphQL, JavaScript, Linux, Pandas, REST, Tableau",Bachelors,4.3,2.0,0.0,0.479,"AWS, Excel, NumPy"
FIT0169,"CI/CD, ETL, Git, PyTorch, REST, Scikit-learn, Tableau, TypeScript","Docker, GCP, Node.js, SQL, TensorFlow",Bachelors,2.4,0.0,0.0,0.222,"CI/CD, ETL, Git, PyTorch, REST, Scikit-learn, Tableau, TypeScript"
FIT0170,"CI/CD, GCP, Git, Hadoop, Kubernetes, Python, REST","ETL, Hadoop, Java, JavaScript, Kubernetes, NumPy, REST, Tableau, TensorFlow, TypeScript",Bachelors,4.6,3.0,1.0,0.588,"CI/CD, GCP, Git, Python"
FIT0171,"CI/CD, Flask, Git, Kubernetes, NumPy, TensorFlow","AWS, Azure, CI/CD, Excel, Hadoop, Node.js, PyTorch, Scikit-learn, Tableau, TypeScript",Bachelors,4.5,1.0,0.0,0.385,"Flask, Git, Kubernetes, NumPy, TensorFlow"
FIT0172,"AWS, Azure, Power BI, REST, React","Airflow, CI/CD, Flask, Node.js, Pandas, Python, Scikit-learn",Bachelors,1.2,0.0,0.0,0.186,"AWS, Azure, Power BI, REST, React"
FIT0173,"Airflow, Excel, Flask, Java, Node.js, Spark","Django, Docker, ETL, Flask, Java, JavaScript, Power BI, REST, TensorFlow",Masters,0.5,2.0,1.0,0.425,"Airflow, Excel, Node.js, Spark"
FIT0174,"Django, ETL, Git, NumPy, Pandas, Spark","Airflow, Flask, Linux, React, TensorFlow",Bachelors,3.5,0.0,0.0,0.255,"Django, ETL, Git, NumPy, Pandas, Spark"
FIT0175,"AWS, Docker, Kubernetes, Linux, Spark, TensorFlow","Azure, Django, Docker, Excel, Flask, GraphQL, Python, R, TensorFlow",Bachelors,1.5,2.0,1.0,0.395,"AWS, Kubernetes, Linux, Spark"
FIT0176,"Airflow, Azure, Flask, GCP, Power BI, PyTorch, React, TypeScript","Azure, CI/CD, Excel, GraphQL, Hadoop, Kubernetes, Node.js, SQL",No Degree,5.2,,1.0,0.406,"Airflow, Flask, GCP, Power BI, PyTorch, React, TypeScript"
FIT0177,"GCP, Linux, Node.js, Pandas, Scikit-learn, TypeScript","AWS, Django, Flask, GraphQL, Node.js, PyTorch, R, REST, SQL, TensorFlow",Bachelors,,1.0,1.0,0.301,"GCP, Linux, Pandas, Scikit-learn, TypeScript"
FIT0178,"GCP, Git, GraphQL, Hadoop, Python","Docker, Excel, Hadoop, Node.js, Power BI, PyTorch, TypeScript",Masters,2.2,1.0,1.0,0.376,"GCP, Git, GraphQL, Python"
FIT0179,"ETL, GraphQL, Java, PyTorch, TensorFlow","Azure, GraphQL, Hadoop, Power BI, PyTorch, R, React, Spark, Tableau, TensorFlow",PhD,3.3,3.0,1.0,0.609,"ETL, Java"
FIT0180,"Airflow, Docker, GCP, Git, Node.js, Power BI, SQL, TypeScript","AWS, CI/CD, Django, Flask, Git, Kubernetes, React",Bachelors,4.3,1.0,1.0,0.379,"Airflow, Docker, GCP, Node.js, Power BI, SQL, TypeScript"
FIT0181,"AWS, Django, Docker, Java, Linux, R, REST, TensorFlow","Flask, NumPy, PyTorch, Python, TypeScript",Bachelors,4.0,0.0,0.0,0.27,"AWS, Django, Docker, Java, Linux, R, REST, TensorFlow"
FIT0182,"Airflow, Django, Kubernetes, Pandas, Power BI, REST, Spark, TensorFlow","Airflow, Azure, Django, Flask, Java, Pandas, Power BI, Python, Tableau",Bachelors,4.4,4.0,0.0,0.682,"Kubernetes, REST, Spark, TensorFlow"
FIT0183,"CI/CD, Docker, Java, Pandas, R, SQL, Spark","Airflow, CI/CD, Linux, Node.js, REST, SQL",Masters,4.9,2.0,1.0,0.557,"Docker, Java, Pandas, R, Spark"
FIT0184,"Airflow, Azure, PyTorch, REST, SQL, TypeScript","Django, Hadoop, Node.js, TypeScript",Masters,3.1,1.0,0.0,0.403,"Airflow, Azure, PyTorch, REST, SQL"
FIT0185,"CI/CD, ETL, GCP, GraphQL, React","Docker, Flask, React, Tableau",Bachelors,3.4,1.0,0.0,0.352,"CI/CD, ETL, GCP, GraphQL"
FIT0186,"AWS, Django, Excel, Git, Linux, Node.js, React, Scikit-learn","Airflow, ETL, Git, Tableau",Bachelors,3.2,1.0,0.0,0.346,"AWS, Django, Excel, Linux, Node.js, React, Scikit-learn"
FIT0187,"GCP, Git, NumPy, Pandas, Power BI, REST, TypeScript","Excel, Kubernetes, Linux, Power BI, Python, SQL",Bachelors,3.5,1.0,1.0,0.355,"GCP, Git, NumPy, Pandas, REST, TypeScript"
FIT0188,"AWS, CI/CD, Docker, Excel, GCP, JavaScript, React, SQL","Airflow, Django, Git, Hadoop, JavaScript, Pandas, Python, REST, Tableau, TensorFlow",Masters,3.1,1.0,0.0,0.403,"AWS, CI/CD, Docker, Excel, GCP, React, SQL"
FIT0189,"Airflow, Docker, NumPy, R, Tableau","AWS, Airflow, Django, Docker, GraphQL, Pandas, Power BI, Scikit-learn",Bachelors,4.3,2.0,0.0,0.479,"NumPy, R, Tableau"
FIT0190,"Django, Excel, GCP, PyTorch, TensorFlow","Flask, Linux, Pandas, Power BI",Masters,4.0,0.0,0.0,0.33,"Django, Excel, GCP, PyTorch, TensorFlow"
FIT0191,"AWS, Airflow, Docker, Hadoop, Power BI, Python, REST","Azure, ETL, GCP, Git, Linux, Scikit-learn",Bachelors,4.2,0.0,1.0,0.276,"AWS, Airflow, Docker, Hadoop, Power BI, Python, REST"
FIT0192,"Airflow, Django, Excel, Git, Hadoop, Java, PyTorch, Spark","CI/CD, GCP, Git, GraphQL, Hadoop, Node.js, Power BI, PyTorch, Scikit-learn",No Degree,3.7,3.0,1.0,0.561,"Airflow, Django, Excel, Java, Spark"
FIT0193,"Django, Flask, GCP, Git, Node.js, Pandas, REST, TensorFlow","GraphQL, JavaScript, Linux, Node.js, Python, REST, SQL, Scikit-learn",Bachelors,6.7,2.0,1.0,0.551,"Django, Flask, GCP, Git, Pandas, TensorFlow"
FIT0194,"Azure, Docker, Excel, GraphQL, JavaScript, NumPy, Tableau","Azure, ETL, Git, Kubernetes, NumPy, TensorFlow",Masters,2.0,2.0,0.0,0.47,"Docker, Excel, GraphQL, JavaScript, Tableau"
FIT0195,"AWS, Flask, Node.js, Tableau, TypeScript","CI/CD, Git, Node.js, Pandas, REST, Tableau, TensorFlow",Masters,4.3,2.0,1.0,0.539,"AWS, Flask, TypeScript"
FIT0196,"CI/CD, Django, GraphQL, Java, JavaScript, PyTorch, SQL, TypeScript","Django, Docker, ETL, Flask, GraphQL, Hadoop, Node.js, Scikit-learn",Bachelors,7.1,2.0,1.0,0.563,"CI/CD, Java, JavaScript, PyTorch, SQL, TypeScript"
FIT0197,"Django, ETL, Java, Linux, Node.js, NumPy, TypeScript","Airflow, NumPy, Power BI, REST, Spark",Bachelors,4.0,1.0,0.0,0.37,"Django, ETL, Java, Linux, Node.js, TypeScript"
FIT0198,"AWS, Airflow, Docker, GCP, Java","Linux, Node.js, Power BI, Python",PhD,2.2,0.0,0.0,0.276,"AWS, Airflow, Docker, GCP, Java"
FIT0199,"Azure, Docker, Flask, Python, REST, React","CI/CD, Excel, GraphQL, PyTorch, Python, Scikit-learn, Tableau",Bachelors,1.6,1.0,0.0,0.298,"Azure, Docker, Flask, REST, React"
